word,count
died,  108 
nation,  496 
provides,  981 
events,  954 
nations,  365 
represented,  170 
speaker,  326 
house,  1157 
carter,  125 
represent,  321 
share,  981 
comment,  125 
email,  596 
papamoa,  105 
electorate,  1597 
office,  1137 
closing,  125 
friday,  363 
monday,  327 
january,  302 
mistake,  117 
goes,  307 
prove,  135 
fit,  400 
manage,  626 
covid,  2187 
michael,  836 
woodhouse,  837 
reports,  507 
morning,  587 
personal,  970 
details,  846 
identity,  175 
active,  355 
failing,  365 
incompetent,  264 
unacceptable,  207 
suffering,  156 
incredibly,  350 
dangerous,  260 
virus,  190 
beginning,  250 
epidemic,  137 
couldn,  123 
simple,  267 
task,  141 
keeping,  631 
shambolic,  104 
wellington,  1810 
heavy,  217 
licence,  138 
clubs,  121 
club,  217 
concerning,  240 
soon,  488 
thing,  499 
past,  1449 
tough,  320 
dealing,  235 
crime,  1094 
targeting,  121 
sports,  283 
tackle,  226 
understand,  915 
internal,  109 
research,  1538 
zero,  214 
sale,  134 
sense,  504 
instead,  750 
ban,  264 
incidents,  160 
coalition,  603 
commit,  273 
organised,  181 
meant,  219 
places,  619 
island,  965 
respected,  118 
communities,  3218 
allow,  1006 
responsible,  672 
serving,  200 
enjoyed,  336 
visit,  971 
roskill,  198 
students,  2282 
parents,  1138 
enjoying,  107 
space,  419 
principal,  139 
exciting,  375 
speak,  301 
opening,  591 
class,  615 
promises,  562 
favour,  153 
board,  1494 
chair,  920 
julie,  232 
accepted,  163 
attending,  251 
guest,  103 
honour,  231 
john,  484 
key,  1817 
cut,  373 
evening,  161 
state,  1742 
hosted,  220 
president,  368 
india,  243 
indian,  130 
loved,  189 
hosting,  241 
teachers,  1190 
hon,  675 
pleasure,  231 
justice,  1247 
forum,  493 
residents,  1088 
fun,  134 
cultural,  357 
festival,  187 
celebrated,  126 
livelihoods,  118 
pandemic,  138 
large,  953 
pushed,  118 
control,  936 
debt,  915 
understands,  136 
prioritise,  176 
lifting,  222 
achievement,  668 
background,  221 
ability,  673 
learning,  1746 
child,  1126 
life,  1552 
thousand,  134 
period,  684 
biggest,  651 
upper,  246 
north,  1533 
left,  677 
submission,  143 
proposals,  872 
fisheries,  224 
meetings,  590 
recreational,  249 
commercial,  519 
submissions,  346 
close,  838 
send,  281 
thoughts,  184 
strategic,  324 
responsive,  100 
changes,  2363 
outlined,  209 
integrated,  360 
electronic,  154 
reporting,  306 
cameras,  108 
flexibility,  171 
technologies,  448 
leading,  526 
looking,  1247 
ways,  670 
challenges,  1016 
valuable,  415 
document,  592 
http,  222 
kuriger,  448 
kids,  664 
taranaki,  989 
shared,  471 
practices,  445 
expertise,  328 
goals,  228 
educational,  319 
outcomes,  770 
classroom,  156 
smaller,  237 
enhanced,  129 
aim,  270 
success,  919 
barbara,  341 
student,  665 
led,  1471 
evidence,  636 
factors,  177 
sharing,  378 
focusing,  185 
performance,  605 
formed,  117 
standing,  274 
firm,  140 
vulnerable,  964 
believe,  985 
lot,  737 
speaking,  162 
