word,count
acknowledge,  243 
chinese,  129 
company,  498 
taken,  401 
farms,  189 
owners,  213 
harder,  210 
solution,  159 
hands,  229 
control,  455 
owned,  180 
guarantee,  157 
short,  430 
opportunities,  749 
productive,  183 
united,  271 
nations,  243 
rights,  734 
signed,  189 
ago,  460 
highlighted,  111 
appears,  169 
base,  132 
official,  387 
figures,  608 
backwards,  111 
immediately,  197 
council,  817 
recommendations,  243 
gender,  123 
equal,  159 
sue,  278 
moroney,  268 
actions,  164 
tell,  256 
won,  537 
extend,  158 
months,  682 
important,  945 
childhood,  197 
according,  244 
body,  128 
evidence,  482 
showing,  312 
treasury,  378 
raising,  106 
concerns,  422 
agencies,  493 
struggling,  340 
planned,  140 
include,  403 
youth,  415 
justice,  779 
fact,  523 
report,  1495 
solutions,  236 
huge,  448 
demand,  317 
little,  2426 
focus,  584 
looking,  521 
overall,  163 
status,  151 
providers,  291 
house,  1461 
voluntary,  145 
poto,  171 
williams,  177 
allowed,  200 
latest,  868 
far,  547 
north,  415 
iwi,  481 
trust,  269 
lose,  131 
allows,  125 
simply,  470 
celebrate,  132 
tomorrow,  183 
court,  424 
men,  188 
caucus,  177 
chair,  162 
aged,  134 
prison,  164 
considered,  201 
babies,  108 
chance,  309 
voice,  191 
member,  451 
night,  204 
reading,  230 
select,  419 
committee,  615 
series,  157 
round,  165 
achievements,  133 
political,  827 
proud,  424 
rebuilding,  103 
facilities,  171 
start,  746 
site,  143 
centre,  452 
providing,  362 
deserve,  276 
announcing,  116 
kept,  252 
coming,  408 
begin,  116 
hospital,  454 
develop,  334 
upgrade,  181 
happen,  221 
learning,  355 
sets,  101 
serve,  121 
teachers,  536 
giving,  317 
teacher,  205 
centres,  230 
conditions,  340 
establishing,  125 
monitoring,  125 
learn,  194 
grow,  407 
thrive,  111 
taranaki,  121 
urgent,  245 
improvements,  118 
safety,  708 
aotearoa,  233 
roads,  302 
andrew,  2107 
urban,  326 
phil,  1536 
twyford,  1323 
earlier,  225 
design,  109 
wanted,  152 
grant,  1457 
robertson,  1375 
open,  418 
event,  152 
alongside,  272 
special,  421 
hon,  219 
launch,  198 
finally,  255 
friday,  139 
pacific,  993 
return,  226 
earthquake,  216 
line,  510 
repairs,  105 
turn,  245 
capacity,  160 
region,  520 
stopped,  121 
rail,  477 
damage,  186 
date,  173 
happening,  174 
survey,  278 
finding,  122 
chris,  777 
hipkins,  716 
association,  169 
students,  856 
thought,  122 
understand,  177 
smaller,  106 
teaching,  172 
average,  573 
proposal,  277 
pre,  165 
entry,  149 
courses,  129 
setting,  168 
advisory,  108 
provide,  1004 
buildings,  117 
digital,  337 
afford,  280 
steven,  472 
joyce,  575 
announcement,  448 
longer,  373 
cash,  228 
finance,  1219 
necessary,  136 
english,  852 
crisis,  1555 
fix,  449 
pressure,  426 
list,  347 
wants,  278 
plans,  482 
ideas,  279 
identity,  124 
path,  118 
export,  367 
sustainable,  442 
maintain,  105 
