word,count
gas,  0.025 
exploration,  0.011 
consultation,  0.039 
experts,  0.012 
calling,  0.031 
face,  0.035 
facts,  0.005 
got,  0.03 
wrong,  0.016 
change,  0.126 
course,  0.027 
robertson,  0.022 
explain,  0.024 
spending,  0.077 
promise,  0.028 
lift,  0.019 
deserve,  0.029 
idea,  0.019 
right,  0.109 
prevention,  0.017 
remain,  0.03 
priorities,  0.024 
results,  0.044 
children,  0.18 
helps,  0.016 
stop,  0.034 
coverage,  0.009 
community,  0.28 
target,  0.05 
old,  0.027 
introduced,  0.028 
consistently,  0.007 
quarter,  0.019 
december,  0.027 
olds,  0.01 
vaccine,  0.008 
achieved,  0.018 
māori,  0.063 
pacific,  0.071 
rates,  0.039 
highest,  0.022 
reducing,  0.042 
june,  0.035 
meet,  0.081 
ambitious,  0.017 
current,  0.086 
resulted,  0.01 
cases,  0.035 
regional,  0.127 
reduce,  0.082 
young,  0.193 
affected,  0.029 
awareness,  0.016 
february,  0.023 
regions,  0.046 
extend,  0.015 
end,  0.067 
july,  0.035 
committed,  0.079 
deliver,  0.097 
activities,  0.028 
finding,  0.011 
pathway,  0.01 
heart,  0.022 
nelson,  0.08 
training,  0.052 
fresh,  0.01 
inspire,  0.005 
central,  0.064 
rapid,  0.01 
quickly,  0.029 
polytechnics,  0.008 
universities,  0.006 
private,  0.052 
providers,  0.038 
short,  0.03 
skills,  0.067 
kiwi,  0.053 
includes,  0.048 
sectors,  0.028 
zealander,  0.008 
driver,  0.012 
seat,  0.01 
designed,  0.024 
rapidly,  0.011 
tertiary,  0.048 
payment,  0.012 
person,  0.036 
mentoring,  0.006 
accelerator,  0.006 
dedicated,  0.015 
management,  0.091 
generate,  0.006 
specialist,  0.012 
position,  0.026 
offices,  0.008 
benefit,  0.077 
intensive,  0.008 
path,  0.014 
expansion,  0.01 
hub,  0.015 
model,  0.025 
purpose,  0.022 
match,  0.006 
long,  0.111 
term,  0.096 
upgrade,  0.022 
focussed,  0.007 
welfare,  0.023 
ensuring,  0.054 
social,  0.169 
encouraging,  0.023 
vocational,  0.006 
education,  0.286 
expensive,  0.01 
frontline,  0.011 
delivering,  0.049 
tech,  0.008 
supply,  0.036 
related,  0.023 
scholarships,  0.01 
ict,  0.007 
graduate,  0.006 
achieve,  0.044 
double,  0.016 
size,  0.015 
technology,  0.062 
paying,  0.031 
knows,  0.016 
properly,  0.011 
employers,  0.033 
necessary,  0.016 
package,  0.052 
developing,  0.027 
stronger,  0.017 
difference,  0.038 
providing,  0.063 
choices,  0.01 
plus,  0.012 
signing,  0.009 
historic,  0.008 
relations,  0.02 
closer,  0.015 
following,  0.056 
agreement,  0.054 
moment,  0.011 
involved,  0.046 
raise,  0.027 
standard,  0.019 
resilient,  0.01 
prosperous,  0.005 
interests,  0.021 
joint,  0.015 
australia,  0.051 
transform,  0.008 
economies,  0.013 
reliable,  0.012 
income,  0.045 
sustainable,  0.032 
common,  0.017 
trading,  0.021 
goods,  0.015 
tariffs,  0.005 
red,  0.018 
tape,  0.006 
investors,  0.011 
proof,  0.006 
companies,  0.042 
series,  0.014 
upcoming,  0.007 
www,  0.042 
govt,  0.055 
engagement,  0.017 
climate,  0.048 
annual,  0.046 
speech,  0.027 
subject,  0.016 
strongly,  0.015 
views,  0.028 
holiday,  0.011 
break,  0.015 
friends,  0.022 
enjoy,  0.02 
great,  0.158 
driving,  0.022 
testing,  0.028 
began,  0.01 
petition,  0.041 
seeking,  0.017 
introduction,  0.012 
healthcare,  0.02 
areas,  0.102 
difficult,  0.027 
population,  0.049 
true,  0.01 
meaning,  0.012 
housing,  0.183 
assist,  0.02 
elective,  0.013 
surgery,  0.011 
dropped,  0.009 
lowest,  0.012 
nick,  0.033 
smith,  0.057 
huge,  0.049 
privilege,  0.014 
walk,  0.01 
newly,  0.008 
opened,  0.017 
track,  0.054 
sign,  0.029 
updates,  0.021 
political,  0.041 
happen,  0.022 
consumers,  0.019 
