word,count
ways,  0.024 
crime,  0.042 
safer,  0.019 
communities,  0.125 
today,  0.334 
officers,  0.034 
coalition,  0.021 
agreement,  0.051 
extra,  0.06 
good,  0.124 
especially,  0.031 
largest,  0.028 
example,  0.033 
northland,  0.024 
central,  0.038 
district,  0.038 
plenty,  0.013 
canterbury,  0.079 
southern,  0.013 
previously,  0.014 
increased,  0.053 
investment,  0.142 
net,  0.021 
workforce,  0.03 
beginning,  0.017 
staff,  0.096 
increasingly,  0.023 
career,  0.016 
option,  0.013 
priorities,  0.027 
significant,  0.064 
drop,  0.025 
victims,  0.026 
holiday,  0.011 
diverse,  0.013 
role,  0.059 
meet,  0.07 
goals,  0.014 
bringing,  0.017 
thank,  0.024 
advice,  0.051 
enter,  0.012 
touch,  0.031 
stronger,  0.013 
powers,  0.018 
legislation,  0.063 
main,  0.024 
class,  0.028 
amendment,  0.032 
targets,  0.028 
consider,  0.02 
failed,  0.067 
deaths,  0.016 
drug,  0.031 
exactly,  0.013 
response,  0.068 
gives,  0.02 
rich,  0.011 
caught,  0.015 
addiction,  0.017 
treatment,  0.035 
issues,  0.129 
law,  0.112 
existing,  0.036 
discretion,  0.014 
requires,  0.011 
road,  0.043 
personal,  0.017 
supports,  0.018 
practice,  0.022 
organised,  0.015 
operation,  0.011 
area,  0.031 
ongoing,  0.022 
dhb,  0.02 
developing,  0.015 
comprehensive,  0.026 
based,  0.063 
abuse,  0.02 
problems,  0.045 
harm,  0.02 
risks,  0.022 
remains,  0.022 
come,  0.098 
alternative,  0.014 
decided,  0.012 
appropriate,  0.013 
calendar,  0.023 
customs,  0.018 
plant,  0.01 
step,  0.052 
temporary,  0.015 
brought,  0.016 
sell,  0.046 
industries,  0.065 
damien,  0.037 
connor,  0.038 
desperate,  0.023 
board,  0.054 
doubt,  0.012 
farmers,  0.059 
table,  0.017 
acknowledge,  0.026 
chinese,  0.014 
company,  0.052 
taken,  0.042 
farms,  0.02 
owners,  0.022 
harder,  0.022 
solution,  0.017 
hands,  0.024 
control,  0.048 
owned,  0.019 
guarantee,  0.016 
short,  0.045 
opportunities,  0.079 
productive,  0.019 
united,  0.028 
nations,  0.026 
rights,  0.077 
signed,  0.02 
ago,  0.048 
highlighted,  0.012 
appears,  0.018 
base,  0.014 
official,  0.041 
figures,  0.064 
backwards,  0.012 
immediately,  0.021 
council,  0.086 
recommendations,  0.026 
gender,  0.013 
equal,  0.017 
sue,  0.029 
moroney,  0.028 
actions,  0.017 
tell,  0.027 
won,  0.056 
extend,  0.017 
months,  0.072 
important,  0.099 
childhood,  0.021 
according,  0.026 
body,  0.013 
evidence,  0.051 
showing,  0.033 
treasury,  0.04 
raising,  0.011 
concerns,  0.044 
agencies,  0.052 
struggling,  0.036 
planned,  0.015 
include,  0.042 
youth,  0.044 
justice,  0.082 
fact,  0.055 
report,  0.157 
solutions,  0.025 
huge,  0.047 
demand,  0.033 
little,  0.255 
focus,  0.061 
looking,  0.055 
overall,  0.017 
status,  0.016 
providers,  0.031 
house,  0.153 
voluntary,  0.015 
poto,  0.018 
williams,  0.019 
allowed,  0.021 
latest,  0.091 
far,  0.057 
north,  0.044 
iwi,  0.05 
trust,  0.028 
lose,  0.014 
allows,  0.013 
simply,  0.049 
celebrate,  0.014 
tomorrow,  0.019 
court,  0.045 
men,  0.02 
caucus,  0.019 
chair,  0.017 
aged,  0.014 
prison,  0.017 
considered,  0.021 
babies,  0.011 
chance,  0.032 
voice,  0.02 
member,  0.047 
night,  0.021 
reading,  0.024 
select,  0.044 
committee,  0.065 
series,  0.016 
round,  0.017 
achievements,  0.014 
political,  0.087 
proud,  0.045 
rebuilding,  0.011 
facilities,  0.018 
start,  0.078 
site,  0.015 
centre,  0.047 
providing,  0.038 
deserve,  0.029 
announcing,  0.012 
kept,  0.026 
coming,  0.043 
begin,  0.012 
hospital,  0.048 
develop,  0.035 
upgrade,  0.019 
happen,  0.023 
learning,  0.037 
sets,  0.011 
serve,  0.013 
teachers,  0.056 
giving,  0.033 
teacher,  0.022 
centres,  0.024 
conditions,  0.036 
establishing,  0.013 
monitoring,  0.013 
learn,  0.02 
grow,  0.043 
thrive,  0.012 
taranaki,  0.013 
urgent,  0.026 
improvements,  0.012 
safety,  0.074 
aotearoa,  0.024 
roads,  0.032 
andrew,  0.221 
urban,  0.034 
phil,  0.161 
twyford,  0.139 
earlier,  0.024 
design,  0.011 
wanted,  0.016 
grant,  0.153 
robertson,  0.144 
open,  0.044 
event,  0.016 
alongside,  0.029 
special,  0.044 
hon,  0.023 
launch,  0.021 
finally,  0.027 
friday,  0.015 
pacific,  0.104 
return,  0.024 
earthquake,  0.023 
line,  0.054 
repairs,  0.011 
turn,  0.026 
capacity,  0.017 
region,  0.055 
stopped,  0.013 
rail,  0.05 
damage,  0.02 
date,  0.018 
happening,  0.018 
survey,  0.029 
finding,  0.013 
chris,  0.082 
hipkins,  0.075 
association,  0.018 
students,  0.09 
thought,  0.013 
understand,  0.019 
smaller,  0.011 
teaching,  0.018 
average,  0.06 
proposal,  0.029 
pre,  0.017 
entry,  0.016 
courses,  0.014 
setting,  0.018 
advisory,  0.011 
provide,  0.105 
buildings,  0.012 
digital,  0.035 
afford,  0.029 
steven,  0.05 
joyce,  0.06 
announcement,  0.047 
longer,  0.039 
cash,  0.024 
finance,  0.128 
necessary,  0.014 
english,  0.089 
crisis,  0.163 
fix,  0.047 
pressure,  0.045 
list,  0.036 
wants,  0.029 
plans,  0.051 
ideas,  0.029 
identity,  0.013 
path,  0.012 
export,  0.039 
sustainable,  0.046 
maintain,  0.011 
environmental,  0.03 
clean,  0.052 
nature,  0.019 
regional,  0.085 
programmes,  0.027 
targeted,  0.02 
employers,  0.04 
significantly,  0.013 
rural,  0.036 
fishing,  0.034 
value,  0.062 
land,  0.13 
farm,  0.025 
practices,  0.021 
outcomes,  0.025 
affected,  0.031 
biosecurity,  0.012 
initiatives,  0.023 
took,  0.034 
impact,  0.056 
trade,  0.072 
exporters,  0.013 
forestry,  0.017 
effects,  0.013 
productivity,  0.033 
vital,  0.035 
dairy,  0.064 
sectors,  0.018 
compensation,  0.013 
strengthening,  0.011 
water,  0.079 
assistance,  0.012 
trusts,  0.014 
got,  0.054 
ground,  0.019 
fisheries,  0.033 
improved,  0.011 
catch,  0.022 
commercial,  0.034 
regime,  0.013 
puts,  0.02 
possible,  0.044 
impacts,  0.013 
respond,  0.014 
designed,  0.023 
challenge,  0.028 
situation,  0.022 
changed,  0.021 
ready,  0.024 
fight,  0.019 
estimated,  0.018 
